area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up Area,Ready To Move,HSR Layout Sector 6,3 BHK,Brigade Orchards,1452,2,1,172.23
Built-up Area,1 Year,Basavanagudi,1 BHK,Salarpuria Sattva,651,1,3,44.56
Plot Area,Ready To Move,Koramangala 7th Block,2 BHK,Brigade Millennium,1043,2,2,66.21
Built-up Area,6 Months,JP Nagar,3 BHK,Brigade Millennium,1525,2,1,62.14
Plot Area,Under Construction,Vijayanagar,3 BHK,Purva Highlands,1516,2,2,128.67
Built-up Area,1 Year,Whitefield,3 BHK,Godrej United,1615,2,1,85.31
Built-up Area,Under Construction,Kengeri,4 BHK,Mantri Webcity,2196,4,1,96.15
Plot Area,Ready To Move,HSR Layout,3 BHK,Salarpuria Misty Charm,1437,2,2,89.14
Carpet Area,2 Years,HSR Layout Sector 1,5 BHK,Sobha City,3305,3,3,373.29
Super built-up Area,Immediate Possession,Koramangala 4th Block,3 BHK,Mantri Espana,1560,2,1,174.75
Carpet Area,6 Months,HSR Layout Sector 6,2 BHK,Purva Riviera,987,2,2,64.6
Built-up Area,2 Years,Koramangala,1 BHK,Sobha Dream Acres,641,1,2,86.91
Super built-up Area,Immediate Possession,Basavanagudi,4 BHK,Brigade Orchards,2359,2,1,191.1
Carpet Area,Under Construction,HSR Layout Sector 6,3 BHK,Embassy Lake Terraces,1730,2,0,61.05
Carpet Area,1 Year,JP Nagar,4 BHK,Purva Panorama,2567,3,1,185.18
Built-up Area,Under Construction,Koramangala 4th Block,4 BHK,Mantri Alpyne,2271,2,2,263.58
Built-up Area,1 Year,Kengeri,3 BHK,Purva Fountain Square,1547,3,1,69.34
Super built-up Area,2 Years,Basavanagudi,3 BHK,Purva Fountain Square,1560,1,2,141.52
Super built-up Area,Under Construction,Kengeri,3 BHK,Purva Fountain Square,1495,2,0,77.77
Plot Area,Immediate Possession,BTM Layout 1st Stage,5 BHK,Mantri Alpyne,3125,4,2,447.57
Built-up Area,Under Construction,Yelahanka,4 BHK,Row House,2674,3,3,126.64
Plot Area,6 Months,Kengeri Satellite Town,2 BHK,Brigade Cosmopolis,1067,1,1,63.53
Built-up Area,6 Months,Basavanagudi,1 BHK,Embassy Pristine,423,1,1,35.05
Super built-up Area,Under Construction,Indiranagar,5 BHK,Sobha Windfall,3049,3,1,596.25
Super built-up Area,Immediate Possession,HSR Layout Sector 1,3 BHK,Prestige Song of the South,1598,1,1,81.0
Carpet Area,6 Months,Koramangala 1st Block,2 BHK,Prestige Shantiniketan,1346,2,1,124.61
Carpet Area,2 Years,Banashankari,2 BHK,Mantri Webcity,1134,2,1,72.6
Plot Area,Under Construction,Bommanahalli,2 BHK,Mantri Alpyne,1175,2,2,96.89
Carpet Area,6 Months,Nagarbhavi,3 BHK,Godrej Aqua,1483,3,2,69.05
Carpet Area,2 Years,HSR Layout Sector 6,1 BHK,Independent House,562,1,2,20.0
Carpet Area,2 Years,Hebbal,3 BHK,Sobha Windfall,1672,3,1,70.16
Carpet Area,Immediate Possession,HSR Layout Sector 1,5 BHK,Brigade Millennium,3169,5,3,312.04
Carpet Area,Under Construction,Brookefield,4 BHK,Godrej Eternity,2673,3,1,312.79
Super built-up Area,Ready To Move,Koramangala 6th Block,3 BHK,Embassy Pristine,1704,3,1,231.68
Built-up Area,Under Construction,Koramangala 4th Block,4 BHK,Salarpuria Divinity,2524,3,0,370.87
Plot Area,Under Construction,Yelahanka,1 BHK,Standalone Villa,552,1,1,47.66
Carpet Area,Immediate Possession,Vijayanagar,4 BHK,Embassy Lake Terraces,2547,2,1,122.78
Plot Area,Ready To Move,Koramangala 1st Block,3 BHK,Embassy Boulevard,1491,2,2,328.79
Carpet Area,Ready To Move,BTM Layout,2 BHK,Row House,963,1,1,46.5
Built-up Area,Ready To Move,Koramangala 7th Block,4 BHK,Purva Panorama,2468,4,2,283.33
Super built-up Area,Ready To Move,Basavanagudi,3 BHK,Mantri Webcity,1412,3,2,123.7
Built-up Area,New Launch,Domlur,5 BHK,Embassy Pristine,3371,4,3,282.28
Built-up Area,1 Year,Koramangala 4th Block,1 BHK,Salarpuria Divinity,592,1,3,65.82
Plot Area,Under Construction,Kundanhalli,4 BHK,Salarpuria Sattva,2097,4,1,141.36
Plot Area,New Launch,BTM Layout 2nd Stage,5 BHK,Godrej United,3408,3,0,456.37
Super built-up Area,1 Year,Thanisandra,4 BHK,Salarpuria Sattva,2171,4,2,194.05
Carpet Area,2 Years,Ramamurthy Nagar,3 BHK,Salarpuria Sattva,1721,2,2,65.55
Built-up Area,6 Months,Jayanagar,4 BHK,Purva Highlands,3000,3,2,400.27
Built-up Area,New Launch,Kalyan Nagar,4 BHK,Mantri Alpyne,2169,3,0,62.53
Plot Area,2 Years,BTM Layout,3 BHK,Row House,1611,3,2,149.57
Super built-up Area,Ready To Move,Indiranagar,1 BHK,Embassy Boulevard,540,1,2,50.69
Plot Area,Immediate Possession,Banaswadi,3 BHK,Mantri Serenity,1691,1,0,111.19
Built-up Area,Immediate Possession,Indiranagar,3 BHK,Prestige Shantiniketan,1782,1,3,195.37
Plot Area,New Launch,Yelahanka,4 BHK,Godrej United,2437,2,1,98.46
Built-up Area,New Launch,Hebbal,1 BHK,Mantri Serenity,549,1,1,46.02
Super built-up Area,1 Year,Koramangala 7th Block,3 BHK,Purva Fountain Square,1513,3,2,96.52
Plot Area,6 Months,Indiranagar,5 BHK,Builder Floor,3344,4,2,634.15
Super built-up Area,2 Years,Indiranagar,3 BHK,Godrej Aqua,1535,3,2,227.33
Super built-up Area,1 Year,HSR Layout Sector 1,3 BHK,Embassy Boulevard,1597,1,1,108.16
Built-up Area,6 Months,Sarjapur Road,3 BHK,Sobha City,1434,3,2,84.32
Carpet Area,New Launch,Banaswadi,3 BHK,Mantri Serenity,1608,2,3,110.74
Carpet Area,Immediate Possession,Malleshwaram,2 BHK,Prestige Lakeside Habitat,1146,1,2,92.02
Carpet Area,2 Years,Thanisandra,5 BHK,Purva Panorama,2776,5,2,238.72
Super built-up Area,Ready To Move,Thanisandra,5 BHK,Standalone Villa,2762,4,1,184.7
Carpet Area,Under Construction,Domlur,2 BHK,Salarpuria Misty Charm,1188,2,0,65.34
Carpet Area,New Launch,Malleshwaram,2 BHK,Sobha Windfall,1185,1,2,110.12
Carpet Area,6 Months,Koramangala 4th Block,4 BHK,Builder Floor,2274,4,1,316.84
Carpet Area,1 Year,BTM Layout 2nd Stage,6 BHK,Salarpuria Sattva,5004,5,1,502.71
Super built-up Area,Ready To Move,Yelahanka,3 BHK,Row House,1807,2,2,103.81
Carpet Area,6 Months,Kengeri,3 BHK,Mantri Serenity,1603,2,3,70.68
Carpet Area,6 Months,JP Nagar,5 BHK,Embassy Pristine,3728,4,1,300.97
Super built-up Area,1 Year,Indiranagar,4 BHK,Godrej United,2157,3,2,347.32
Super built-up Area,New Launch,Koramangala,2 BHK,Prestige Lakeside Habitat,1030,1,2,103.48
Plot Area,6 Months,Yeshwanthpur,3 BHK,Godrej United,1580,3,1,129.33
Super built-up Area,1 Year,Sarjapur Road,3 BHK,Brigade Gateway,1542,3,2,118.65
Built-up Area,Immediate Possession,Brookefield,2 BHK,Prestige Lakeside Habitat,1123,2,3,35.05
Carpet Area,2 Years,Bellandur,4 BHK,Sobha City,2267,3,0,251.14
Built-up Area,1 Year,JP Nagar,3 BHK,Salarpuria Sattva,1797,2,3,109.3
Plot Area,6 Months,Koramangala 5th Block,1 BHK,Brigade Gateway,555,1,1,63.56
Built-up Area,Immediate Possession,Yeshwanthpur,4 BHK,Brigade Millennium,2235,3,2,146.37
Carpet Area,2 Years,Kengeri Satellite Town,2 BHK,Sobha Silicon Oaks,1066,1,3,48.22
Built-up Area,2 Years,Kengeri,2 BHK,Salarpuria Sattva,1101,1,2,50.35
Plot Area,Under Construction,Koramangala,3 BHK,Purva Riviera,1542,1,2,304.99
Carpet Area,2 Years,Varthur,1 BHK,Salarpuria Greenage,612,1,1,44.39
Built-up Area,Immediate Possession,Electronic City,2 BHK,Mantri Webcity,1084,1,1,29.67
Carpet Area,New Launch,BTM Layout,5 BHK,Independent House,3288,3,3,265.28
Carpet Area,Ready To Move,Banashankari,3 BHK,Embassy Springs,1676,2,1,122.28
Carpet Area,Ready To Move,Rajajinagar,5 BHK,Salarpuria Sattva,3708,3,3,399.49
Carpet Area,Immediate Possession,Varthur,6 BHK,Independent House,4873,6,1,175.98
Built-up Area,New Launch,KR Puram,3 BHK,Sobha City,1765,1,1,85.62
Built-up Area,New Launch,Whitefield,4 BHK,Godrej United,2337,4,1,71.66
Carpet Area,6 Months,BTM Layout 2nd Stage,2 BHK,Purva Fountain Square,1151,2,2,40.52
Carpet Area,6 Months,Nagarbhavi,2 BHK,Godrej Air,1124,1,2,101.5
